,Entry,Protein,Protein name,Gene names,Gene names (primary),yourlist
11306,Q9Y2E5,MA2B2,"Epididymis-specific alpha-mannosidase (EC 3.2.1.24) (Alpha-1,6-mannosidase) (Mannosidase alpha class 2B member 2)",MAN2B2 KIAA0935,MAN2B2,Q9Y2E5
11307,Q9Y2G0,EFR3B,Protein EFR3 homolog B,EFR3B KIAA0953,EFR3B,Q9Y2G0
11308,Q9Y2G3,AT11B,Phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B),ATP11B ATPIF ATPIR KIAA0956,ATP11B,Q9Y2G3
11309,Q9Y2G5,OFUT2,GDP-fucose protein O-fucosyltransferase 2 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 2) (O-FucT-2),POFUT2 C21orf80 FUT13 KIAA0958,POFUT2,Q9Y2G5
11310,Q9Y2G8,DJC16,DnaJ homolog subfamily C member 16,DNAJC16 KIAA0962,DNAJC16,Q9Y2G8
11311,Q9Y2H0,DLGP4,Disks large-associated protein 4 (DAP-4) (PSD-95/SAP90-binding protein 4) (SAP90/PSD-95-associated protein 4) (SAPAP-4),DLGAP4 DAP4 KIAA0964 SAPAP4,DLGAP4,Q9Y2H0
11312,Q9Y2H1,ST38L,Serine/threonine-protein kinase 38-like (EC 2.7.11.1) (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2),STK38L KIAA0965 NDR2,STK38L,Q9Y2H1
11313,Q9Y2H2,SAC2,Phosphatidylinositide phosphatase SAC2 (EC 3.1.3.25) (Inositol polyphosphate 5-phosphatase F) (Sac domain-containing inositol phosphatase 2) (Sac domain-containing phosphoinositide 4-phosphatase 2) (hSAC2),INPP5F KIAA0966 SAC2 MSTP007 MSTP047,INPP5F,Q9Y2H2
11314,Q9Y2H5,PKHA6,Pleckstrin homology domain-containing family A member 6 (PH domain-containing family A member 6) (Phosphoinositol 3-phosphate-binding protein 3) (PEPP-3),PLEKHA6 KIAA0969 PEPP3,PLEKHA6,Q9Y2H5
11315,Q9Y2H6,FND3A,Fibronectin type-III domain-containing protein 3A (Human gene expressed in odontoblasts),FNDC3A FNDC3 HUGO KIAA0970,FNDC3A,Q9Y2H6
11316,Q9Y2H9,MAST1,Microtubule-associated serine/threonine-protein kinase 1 (EC 2.7.11.1) (Syntrophin-associated serine/threonine-protein kinase),MAST1 KIAA0973 SAST,MAST1,Q9Y2H9
11317,Q9Y2I1,NISCH,Nischarin (Imidazoline receptor 1) (I-1) (IR1) (Imidazoline receptor antisera-selected protein) (hIRAS) (Imidazoline-1 receptor) (I1R) (Imidazoline-1 receptor candidate protein) (I-1 receptor candidate protein) (I1R candidate protein),NISCH IRAS KIAA0975,NISCH,Q9Y2I1
11318,Q9Y2I2,NTNG1,Netrin-G1 (Laminet-1),NTNG1 KIAA0976 LMNT1 UNQ571/PRO1133,NTNG1,Q9Y2I2
11319,Q9Y2I7,FYV1,1-phosphatidylinositol 3-phosphate 5-kinase (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (FYVE finger-containing phosphoinositide kinase) (PIKfyve) (Phosphatidylinositol 3-phosphate 5-kinase type III) (PIPkin-III) (Type III PIP kinase) (Serine-protein kinase PIKFYVE) (EC 2.7.11.1),PIKFYVE KIAA0981 PIP5K3,PIKFYVE,Q9Y2I7
11320,Q9Y2I8,WDR37,WD repeat-containing protein 37,WDR37 KIAA0982,WDR37,Q9Y2I8
11321,Q9Y2J0,RP3A,Rabphilin-3A (Exophilin-1),RPH3A KIAA0985,RPH3A,Q9Y2J0
11322,Q9Y2J2,E41L3,"Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1) (DAL-1) (Erythrocyte membrane protein band 4.1-like 3) [Cleaved into: Band 4.1-like protein 3, N-terminally processed]",EPB41L3 DAL1 KIAA0987,EPB41L3,Q9Y2J2
11323,Q9Y2J4,AMOL2,Angiomotin-like protein 2 (Leman coiled-coil protein) (LCCP),AMOTL2 KIAA0989,AMOTL2,Q9Y2J4
11324,Q9Y2J8,PADI2,Protein-arginine deiminase type-2 (EC 3.5.3.15) (PAD-H19) (Peptidylarginine deiminase II) (Protein-arginine deiminase type II),PADI2 KIAA0994 PAD2 PDI2,PADI2,Q9Y2J8
11325,Q9Y2K2,SIK3,Serine/threonine-protein kinase SIK3 (EC 2.7.11.1) (Salt-inducible kinase 3) (SIK-3) (Serine/threonine-protein kinase QSK),SIK3 KIAA0999 QSK L19,SIK3,Q9Y2K2
11326,Q9Y2K5,R3HD2,R3H domain-containing protein 2,R3HDM2 KIAA1002,R3HDM2,Q9Y2K5
11327,Q9Y2K6,UBP20,Ubiquitin carboxyl-terminal hydrolase 20 (EC 3.4.19.12) (Deubiquitinating enzyme 20) (Ubiquitin thioesterase 20) (Ubiquitin-specific-processing protease 20) (VHL-interacting deubiquitinating enzyme 2) (hVDU2),USP20 KIAA1003 LSFR3A VDU2,USP20,Q9Y2K6
11328,Q9Y2K9,STB5L,Syntaxin-binding protein 5-like (Lethal(2) giant larvae protein homolog 4) (Tomosyn-2),STXBP5L KIAA1006 LLGL4,STXBP5L,Q9Y2K9
11329,Q9Y2L1,RRP44,Exosome complex exonuclease RRP44 (EC 3.1.13.-) (EC 3.1.26.-) (Protein DIS3 homolog) (Ribosomal RNA-processing protein 44),DIS3 KIAA1008 RRP44,DIS3,Q9Y2L1
11330,Q9Y2L5,TPPC8,Trafficking protein particle complex subunit 8 (Protein TRS85 homolog),TRAPPC8 KIAA1012,TRAPPC8,Q9Y2L5
11331,Q9Y2L6,FRM4B,FERM domain-containing protein 4B (GRP1-binding protein GRSP1),FRMD4B GRSP1 KIAA1013,FRMD4B,Q9Y2L6
11332,Q9Y2L9,LRCH1,Leucine-rich repeat and calponin homology domain-containing protein 1 (Calponin homology domain-containing protein 1) (Neuronal protein 81) (NP81),LRCH1 CHDC1 KIAA1016,LRCH1,Q9Y2L9
11333,Q9Y2M0,FAN1,Fanconi-associated nuclease 1 (EC 3.1.21.-) (EC 3.1.4.1) (FANCD2/FANCI-associated nuclease 1) (hFAN1) (Myotubularin-related protein 15),FAN1 KIAA1018 MTMR15,FAN1,Q9Y2M0
11334,Q9Y2P4,S27A6,"Long-chain fatty acid transport protein 6 (FATP-6) (Fatty acid transport protein 6) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty-acid-coenzyme A ligase, very long-chain 2) (EC 6.2.1.-) (Solute carrier family 27 member 6) (Very long-chain acyl-CoA synthetase homolog 1) (VLCSH1) (hVLCS-H1)",SLC27A6 ACSVL2 FACVL2 FATP6,SLC27A6,Q9Y2P4
11335,Q9Y2P8,RCL1,RNA 3'-terminal phosphate cyclase-like protein,RCL1 RNAC RPC2 RPCL1 RTC2 HSPC338,RCL1,Q9Y2P8
11336,Q9Y2Q0,AT8A1,Phospholipid-transporting ATPase IA (EC 7.6.2.1) (ATPase class I type 8A member 1) (Chromaffin granule ATPase II) (P4-ATPase flippase complex alpha subunit ATP8A1),ATP8A1 ATPIA,ATP8A1,Q9Y2Q0
11337,Q9Y2Q3,GSTK1,Glutathione S-transferase kappa 1 (EC 2.5.1.18) (GST 13-13) (GST class-kappa) (GSTK1-1) (hGSTK1) (Glutathione S-transferase subunit 13),GSTK1 HDCMD47P,GSTK1,Q9Y2Q3
11338,Q9Y2Q5,LTOR2,Ragulator complex protein LAMTOR2 (Endosomal adaptor protein p14) (Late endosomal/lysosomal Mp1-interacting protein) (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 2) (Mitogen-activated protein-binding protein-interacting protein) (MAPBP-interacting protein) (Roadblock domain-containing protein 3),LAMTOR2 MAPBPIP ROBLD3 HSPC003,LAMTOR2,Q9Y2Q5
11339,Q9Y2Q9,RT28,"28S ribosomal protein S28, mitochondrial (MRP-S28) (S28mt) (28S ribosomal protein S35, mitochondrial) (MRP-S35) (S35mt) (Mitochondrial small ribosomal subunit protein bS1m)",MRPS28 MRPS35 HSPC007,MRPS28,Q9Y2Q9
11340,Q9Y2R0,COA3,"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial (Coiled-coil domain-containing protein 56) (Mitochondrial translation regulation assembly intermediate of cytochrome c oxidase protein of 12 kDa)",COA3 CCDC56 MITRAC12 HSPC009,COA3,Q9Y2R0
11341,Q9Y2R5,RT17,"28S ribosomal protein S17, mitochondrial (MRP-S17) (S17mt) (Mitochondrial small ribosomal subunit protein uS17m)",MRPS17 RPMS17 HSPC011,MRPS17,Q9Y2R5
11342,Q9Y2R9,RT07,"28S ribosomal protein S7, mitochondrial (MRP-S7) (S7mt) (Mitochondrial small ribosomal subunit protein uS7m) (bMRP-27a) (bMRP27a)",MRPS7,MRPS7,Q9Y2R9
11343,P0DPB6,RPAC2,DNA-directed RNA polymerases I and III subunit RPAC2 (RNA polymerases I and III subunit AC2) (AC19) (DNA-directed RNA polymerase I subunit D) (RNA polymerase I 16 kDa subunit) (RPA16) (RPC16) (hRPA19),POLR1D,POLR1D,Q9Y2S0
11344,P0DPB5,RPC22,"Protein POLR1D, isoform 2",POLR1D,POLR1D,Q9Y2S0
11345,Q9Y2S2,CRYL1,Lambda-crystallin homolog (EC 1.1.1.45) (L-gulonate 3-dehydrogenase) (Gul3DH),CRYL1 CRY,CRYL1,Q9Y2S2
11346,Q9Y2S6,TMA7,Translation machinery-associated protein 7 (Coiled-coil domain-containing protein 72),TMA7 CCDC72 HSPC016 HSPC330,TMA7,Q9Y2S6
11347,Q9Y2S7,PDIP2,Polymerase delta-interacting protein 2 (38 kDa DNA polymerase delta interaction protein) (p38),POLDIP2 PDIP38 POLD4 HSPC017,POLDIP2,Q9Y2S7
11348,Q9Y2T2,AP3M1,AP-3 complex subunit mu-1 (AP-3 adaptor complex mu3A subunit) (Adaptor-related protein complex 3 subunit mu-1) (Mu-adaptin 3A) (Mu3A-adaptin),AP3M1,AP3M1,Q9Y2T2
11349,Q9Y2T3,GUAD,Guanine deaminase (Guanase) (Guanine aminase) (EC 3.5.4.3) (Guanine aminohydrolase) (GAH) (p51-nedasin),GDA KIAA1258,GDA,Q9Y2T3
11350,Q9Y2T4,2ABG,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform (IMYPNO1) (PP2A subunit B isoform B55-gamma) (PP2A subunit B isoform PR55-gamma) (PP2A subunit B isoform R2-gamma) (PP2A subunit B isoform gamma),PPP2R2C,PPP2R2C,Q9Y2T4
11351,Q9Y2T5,GPR52,G-protein coupled receptor 52,GPR52,GPR52,Q9Y2T5
11352,Q9Y2T7,YBOX2,Y-box-binding protein 2 (Contrin) (DNA-binding protein C) (Dbpc) (Germ cell-specific Y-box-binding protein) (MSY2 homolog),YBX2 CSDA3 MSY2,YBX2,Q9Y2T7
11353,Q9Y2U5,M3K2,Mitogen-activated protein kinase kinase kinase 2 (EC 2.7.11.25) (MAPK/ERK kinase kinase 2) (MEK kinase 2) (MEKK 2),MAP3K2 MAPKKK2 MEKK2,MAP3K2,Q9Y2U5
11354,Q9Y2U8,MAN1,Inner nuclear membrane protein Man1 (LEM domain-containing protein 3),LEMD3 MAN1,LEMD3,Q9Y2U8
11355,Q9Y2V2,CHSP1,Calcium-regulated heat-stable protein 1 (Calcium-regulated heat-stable protein of 24 kDa) (CRHSP-24),CARHSP1,CARHSP1,Q9Y2V2
11356,Q9Y2V7,COG6,Conserved oligomeric Golgi complex subunit 6 (COG complex subunit 6) (Component of oligomeric Golgi complex 6),COG6 KIAA1134,COG6,Q9Y2V7
11357,Q9Y2W1,TR150,Thyroid hormone receptor-associated protein 3 (BCLAF1 and THRAP3 family member 2) (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150),THRAP3 BCLAF2 TRAP150,THRAP3,Q9Y2W1
11358,Q9Y2W2,WBP11,WW domain-binding protein 11 (WBP-11) (Npw38-binding protein) (NpwBP) (SH3 domain-binding protein SNP70) (Splicing factor that interacts with PQBP-1 and PP1),WBP11 NPWBP SIPP1 SNP70,WBP11,Q9Y2W2
11359,Q9Y2W3,S45A1,Proton-associated sugar transporter A (PAST-A) (Deleted in neuroblastoma 5 protein) (DNb-5) (Solute carrier family 45 member 1),SLC45A1 DNB5,SLC45A1,Q9Y2W3
11360,Q9Y2W6,TDRKH,Tudor and KH domain-containing protein (Tudor domain-containing protein 2),TDRKH TDRD2,TDRKH,Q9Y2W6
11361,Q9Y2X0,MED16,Mediator of RNA polymerase II transcription subunit 16 (Mediator complex subunit 16) (Thyroid hormone receptor-associated protein 5) (Thyroid hormone receptor-associated protein complex 95 kDa component) (Trap95) (Vitamin D3 receptor-interacting protein complex 92 kDa component) (DRIP92),MED16 DRIP92 THRAP5,MED16,Q9Y2X0
11362,Q9Y2X3,NOP58,Nucleolar protein 58 (Nucleolar protein 5),NOP58 NOL5 NOP5 HSPC120,NOP58,Q9Y2X3
11363,Q9Y2X7,GIT1,ARF GTPase-activating protein GIT1 (ARF GAP GIT1) (Cool-associated and tyrosine-phosphorylated protein 1) (CAT-1) (CAT1) (G protein-coupled receptor kinase-interactor 1) (GRK-interacting protein 1) (p95-APP1),GIT1,GIT1,Q9Y2X7
11364,Q9Y2X8,UB2D4,Ubiquitin-conjugating enzyme E2 D4 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme D4) (HBUCE1) (Ubiquitin carrier protein D4) (Ubiquitin-protein ligase D4),UBE2D4 UBCH5D,UBE2D4,Q9Y2X8
11365,Q9Y2Y0,AR2BP,ADP-ribosylation factor-like protein 2-binding protein (ARF-like 2-binding protein) (ARL2-binding protein) (Binder of ARF2 protein 1),ARL2BP BART BART1,ARL2BP,Q9Y2Y0
11366,Q9Y2Z0,SGT1,Protein SGT1 homolog (Protein 40-6-3) (Sgt1) (Suppressor of G2 allele of SKP1 homolog),SUGT1,SUGT1,Q9Y2Z0
11367,Q9Y2Z2,MTO1,"Protein MTO1 homolog, mitochondrial",MTO1 CGI-02,MTO1,Q9Y2Z2
11368,Q9Y2Z4,SYYM,"Tyrosine--tRNA ligase, mitochondrial (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)",YARS2 CGI-04,YARS2,Q9Y2Z4
11369,Q9Y2Z9,COQ6,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.13.-) (Coenzyme Q10 monooxygenase 6)",COQ6 CGI-10,COQ6,Q9Y2Z9
11370,Q9Y303,NAGA,N-acetylglucosamine-6-phosphate deacetylase (GlcNAc 6-P deacetylase) (EC 3.5.1.25) (Amidohydrolase domain-containing protein 2),AMDHD2 CGI-14,AMDHD2,Q9Y303
11371,Q9Y305,ACOT9,"Acyl-coenzyme A thioesterase 9, mitochondrial (Acyl-CoA thioesterase 9) (EC 3.1.2.-) (Acyl-CoA thioester hydrolase 9)",ACOT9 CGI-16,ACOT9,Q9Y305
11372,Q9Y314,NOSIP,Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase NOSIP) (eNOS-interacting protein),NOSIP CGI-25,NOSIP,Q9Y314
11373,Q9Y315,DEOC,Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase),DERA CGI-26,DERA,Q9Y315
11374,Q9Y316,MEMO1,Protein MEMO1 (C21orf19-like protein) (Hepatitis C virus NS5A-transactivated protein 7) (HCV NS5A-transactivated protein 7) (Mediator of ErbB2-driven cell motility 1) (Mediator of cell motility 1) (Memo-1),MEMO1 C2orf4 MEMO NS5ATP7 CGI-27,MEMO1,Q9Y316
11375,Q9Y320,TMX2,Thioredoxin-related transmembrane protein 2 (Cell proliferation-inducing gene 26 protein) (Thioredoxin domain-containing protein 14),TMX2 TXNDC14 CGI-31 My009 PIG26 PSEC0045 UNQ237/PRO270,TMX2,Q9Y320
11376,Q9Y328,NSG2,Neuronal vesicle trafficking-associated protein 2 (Neuron-specific protein family member 2) (Protein p19) (Hmp19),NSG2 CALY3,NSG2,Q9Y328
11377,Q9Y333,LSM2,U6 snRNA-associated Sm-like protein LSm2 (Protein G7b) (Small nuclear ribonuclear protein D homolog) (snRNP core Sm-like protein Sm-x5),LSM2 C6orf28 G7B,LSM2,Q9Y333
11378,Q9Y334,VWA7,von Willebrand factor A domain-containing protein 7 (Protein G7c),VWA7 C6orf27 G7C NG37,VWA7,Q9Y334
11379,Q9Y342,PLLP,Plasmolipin (Plasma membrane proteolipid),PLLP PMLP TM4SF11,PLLP,Q9Y342
11380,Q9Y343,SNX24,Sorting nexin-24,SNX24 SBBI31 UNQ654/PRO1284,SNX24,Q9Y343
11381,Q9Y365,STA10,START domain-containing protein 10 (StARD10) (Antigen NY-CO-28) (PCTP-like protein) (PCTP-L) (Serologically defined colon cancer antigen 28) (StAR-related lipid transfer protein 10),STARD10 SDCCAG28 CGI-52,STARD10,Q9Y365
11382,Q9Y371,SHLB1,Endophilin-B1 (Bax-interacting factor 1) (Bif-1) (SH3 domain-containing GRB2-like protein B1),SH3GLB1 KIAA0491 CGI-61,SH3GLB1,Q9Y371
11383,Q9Y375,CIA30,"Complex I intermediate-associated protein 30, mitochondrial (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 1)",NDUFAF1 CIA30 CGI-65,NDUFAF1,Q9Y375
11384,Q9Y376,CAB39,Calcium-binding protein 39 (MO25alpha) (Protein Mo25),CAB39 MO25 CGI-66,CAB39,Q9Y376
11385,Q9Y383,LC7L2,Putative RNA-binding protein Luc7-like 2,LUC7L2 CGI-59 CGI-74,LUC7L2,Q9Y383
11386,Q9Y385,UB2J1,Ubiquitin-conjugating enzyme E2 J1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J1) (Non-canonical ubiquitin-conjugating enzyme 1) (NCUBE-1) (Yeast ubiquitin-conjugating enzyme UBC6 homolog E) (HsUBC6e),UBE2J1 NCUBE1 CGI-76 HSPC153 HSPC205,UBE2J1,Q9Y385
11387,Q9Y394,DHRS7,Dehydrogenase/reductase SDR family member 7 (EC 1.1.1.-) (Retinal short-chain dehydrogenase/reductase 4) (retSDR4) (Short chain dehydrogenase/reductase family 34C member 1) (Protein SDR34C1),DHRS7 DHRS7A RETSDR4 SDR34C1 CGI-86 UNQ285/PRO3448,DHRS7,Q9Y394
11388,Q9Y397,ZDHC9,Palmitoyltransferase ZDHHC9 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 9) (DHHC-9) (DHHC9) (Zinc finger protein 379) (Zinc finger protein 380),ZDHHC9 CXorf11 ZDHHC10 ZNF379 ZNF380 CGI-89 UNQ261/PRO298,ZDHHC9,Q9Y397
11389,Q9Y399,RT02,"28S ribosomal protein S2, mitochondrial (MRP-S2) (S2mt) (Mitochondrial small ribosomal subunit protein uS2m)",MRPS2 CGI-91,MRPS2,Q9Y399
11390,Q9Y3A2,UTP11,Probable U3 small nucleolar RNA-associated protein 11 (U3 snoRNA-associated protein 11) (UTP11-like protein),UTP11 UTP11L CGI-94 HDCMB12P,UTP11,Q9Y3A2
11391,Q9Y3A3,PHOCN,MOB-like protein phocein (2C4D) (Class II mMOB1) (Mob1 homolog 3) (Mob3) (Mps one binder kinase activator-like 3) (Preimplantation protein 3),MOB4 MOB3 MOBKL3 PHOCN PREI3 CGI-95,MOB4,Q9Y3A3
11392,Q9Y3A4,RRP7A,Ribosomal RNA-processing protein 7 homolog A (Gastric cancer antigen Zg14),RRP7A CGI-96,RRP7A,Q9Y3A4
11393,Q9Y3A5,SBDS,Ribosome maturation protein SBDS (Shwachman-Bodian-Diamond syndrome protein),SBDS CGI-97,SBDS,Q9Y3A5
11394,Q9Y3A6,TMED5,Transmembrane emp24 domain-containing protein 5 (p24 family protein gamma-2) (p24gamma2) (p28),TMED5 CGI-100 UNQ397/PRO733,TMED5,Q9Y3A6
11395,Q9Y3B2,EXOS1,Exosome complex component CSL4 (Exosome component 1),EXOSC1 CSL4 CGI-108,EXOSC1,Q9Y3B2
11396,Q9Y3B3,TMED7,Transmembrane emp24 domain-containing protein 7 (p24 family protein gamma-3) (p24gamma3) (p27),TMED7 CGI-109,TMED7,Q9Y3B3
11397,Q9Y3B4,SF3B6,"Splicing factor 3B subunit 6 (Pre-mRNA branch site protein p14) (SF3b 14 kDa subunit) (SF3B14a) (Spliceosome-associated protein, 14-kDa) (Splicing factor 3b, subunit 6, 14kDa)",SF3B6 SAP14 SF3B14 SF3B14A CGI-110 HSPC175 HT006,SF3B6,Q9Y3B4
11398,Q9Y3B6,EMC9,ER membrane protein complex subunit 9 (Protein FAM158A),EMC9 C14orf122 FAM158A CGI-112,EMC9,Q9Y3B6
11399,Q9Y3B7,RM11,"39S ribosomal protein L11, mitochondrial (L11mt) (MRP-L11) (Mitochondrial large ribosomal subunit protein uL11m)",MRPL11 CGI-113,MRPL11,Q9Y3B7
11400,Q9Y3B8,ORN,"Oligoribonuclease, mitochondrial (EC 3.1.15.-) (RNA exonuclease 2 homolog) (Small fragment nuclease)",REXO2 SFN SMFN CGI-114,REXO2,Q9Y3B8
11401,Q9Y3B9,RRP15,RRP15-like protein (Ribosomal RNA-processing protein 15),RRP15 KIAA0507 CGI-115,RRP15,Q9Y3B9
11402,Q9Y3C0,WASC3,WASH complex subunit 3 (Coiled-coil domain-containing protein 53),WASHC3 AD-016 CCDC53 CGI-116 x0009,WASHC3,Q9Y3C0
11403,Q9Y3C1,NOP16,Nucleolar protein 16 (HBV pre-S2 trans-regulated protein 3),NOP16 CGI-117 HSPC111,NOP16,Q9Y3C1
11404,Q9Y3C4,TPRKB,EKC/KEOPS complex subunit TPRKB (PRPK-binding protein) (TP53RK-binding protein),TPRKB CGI-121 My019,TPRKB,Q9Y3C4
11405,Q9Y3C5,RNF11,RING finger protein 11,RNF11 CGI-123,RNF11,Q9Y3C5
11406,Q9Y3C6,PPIL1,Peptidyl-prolyl cis-trans isomerase-like 1 (PPIase) (EC 5.2.1.8) (Rotamase PPIL1),PPIL1 CYPL1 CGI-124 UNQ2425/PRO4984,PPIL1,Q9Y3C6
11407,Q9Y3C8,UFC1,Ubiquitin-fold modifier-conjugating enzyme 1 (Ufm1-conjugating enzyme 1),UFC1 CGI-126 HSPC155,UFC1,Q9Y3C8
11408,Q9Y3D0,CIA2B,Cytosolic iron-sulfur assembly component 2B (MSS19-interacting protein of 18 kDa) (Mitotic spindle-associated MMXD complex subunit MIP18) (Protein FAM96B),CIAO2B CIAB FAM96B MIP18 CGI-128 HSPC118,CIAO2B,Q9Y3D0
11409,Q9Y3D2,MSRB2,"Methionine-R-sulfoxide reductase B2, mitochondrial (MsrB2) (EC 1.8.4.12) (EC 1.8.4.14)",MSRB2 CBS-1 MSRB CGI-131,MSRB2,Q9Y3D2
11410,Q9Y3D3,RT16,"28S ribosomal protein S16, mitochondrial (MRP-S16) (S16mt) (Mitochondrial small ribosomal subunit protein bS16m)",MRPS16 RPMS16 CGI-132,MRPS16,Q9Y3D3
11411,Q9Y3D6,FIS1,Mitochondrial fission 1 protein (FIS1 homolog) (hFis1) (Tetratricopeptide repeat protein 11) (TPR repeat protein 11),FIS1 TTC11 CGI-135,FIS1,Q9Y3D6
11412,Q9Y3D7,TIM16,Mitochondrial import inner membrane translocase subunit TIM16 (Mitochondria-associated granulocyte macrophage CSF-signaling molecule) (Presequence translocated-associated motor subunit PAM16),PAM16 MAGMAS TIM16 TIMM16 CGI-136,PAM16,Q9Y3D7
11413,Q9Y3D8,KAD6,Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase),AK6 CINAP AD-004 CGI-137,AK6,Q9Y3D8
11414,Q9Y3D9,RT23,"28S ribosomal protein S23, mitochondrial (MRP-S23) (S23mt) (Mitochondrial small ribosomal subunit protein mS23)",MRPS23 CGI-138 HSPC329,MRPS23,Q9Y3D9
11415,Q9Y3E0,GOT1B,Vesicle transport protein GOT1B (Germ cell tumor 2) (Golgi transport 1 homolog B) (Putative NF-kappa-B-activating protein 470) (hGOT1a),GOLT1B GCT2 GOT1A CGI-141 HDCMA39P UNQ432/PRO793,GOLT1B,Q9Y3E0
11416,Q9Y3E1,HDGR3,Hepatoma-derived growth factor-related protein 3 (HRP-3) (Hepatoma-derived growth factor 2) (HDGF-2),HDGFL3 HDGF2 HDGFRP3 CGI-142,HDGFL3,Q9Y3E1
11417,Q9Y3E2,BOLA1,BolA-like protein 1 (hBolA),BOLA1 CGI-143,BOLA1,Q9Y3E2
11418,Q9Y3E5,PTH2,"Peptidyl-tRNA hydrolase 2, mitochondrial (PTH 2) (EC 3.1.1.29) (Bcl-2 inhibitor of transcription 1)",PTRH2 BIT1 PTH2 CGI-147,PTRH2,Q9Y3E5
11419,Q9Y3E7,CHMP3,Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Neuroendocrine differentiation factor) (Vacuolar protein sorting-associated protein 24) (hVps24),CHMP3 CGI149 NEDF VPS24 CGI-149,CHMP3,Q9Y3E7
11420,Q9Y3F4,STRAP,Serine-threonine kinase receptor-associated protein (MAP activator with WD repeats) (UNR-interacting protein) (WD-40 repeat protein PT-WD),STRAP MAWD UNRIP,STRAP,Q9Y3F4
11421,Q9Y3I0,RTCB,RNA-splicing ligase RtcB homolog (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase),RTCB C22orf28 HSPC117,RTCB,Q9Y3I0
11422,Q9Y3I1,FBX7,F-box only protein 7,FBXO7 FBX7,FBXO7,Q9Y3I1
11423,Q9Y3L3,3BP1,SH3 domain-binding protein 1,SH3BP1,SH3BP1,Q9Y3L3
11424,Q9Y3L5,RAP2C,Ras-related protein Rap-2c (EC 3.6.5.2),RAP2C,RAP2C,Q9Y3L5
11425,Q9Y3M8,STA13,StAR-related lipid transfer protein 13 (46H23.2) (Deleted in liver cancer 2 protein) (DLC-2) (Rho GTPase-activating protein) (START domain-containing protein 13) (StARD13),STARD13 DLC2 GT650,STARD13,Q9Y3M8
11426,Q9Y3P9,RBGP1,Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA),RABGAP1 HSPC094,RABGAP1,Q9Y3P9
11427,Q9Y3Q0,NALD2,N-acetylated-alpha-linked acidic dipeptidase 2 (EC 3.4.17.21) (Glutamate carboxypeptidase III) (GCPIII) (N-acetylated-alpha-linked acidic dipeptidase II) (NAALADase II),NAALAD2,NAALAD2,Q9Y3Q0
11428,Q9Y3Q4,HCN4,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,HCN4,HCN4,Q9Y3Q4
11429,Q9Y3Q8,T22D4,TSC22 domain family protein 4 (TSC22-related-inducible leucine zipper protein 2) (Tsc-22-like protein THG-1),TSC22D4 THG1 TILZ2,TSC22D4,Q9Y3Q8
11430,Q9Y3R0,GRIP1,Glutamate receptor-interacting protein 1 (GRIP-1),GRIP1,GRIP1,Q9Y3R0
11431,Q9Y3R5,DOP2,Protein dopey-2,DOP1B C21orf5 DOPEY2 KIAA0933,DOP1B,Q9Y3R5
11432,Q9Y3S1,WNK2,Serine/threonine-protein kinase WNK2 (EC 2.7.11.1) (Antigen NY-CO-43) (Protein kinase lysine-deficient 2) (Protein kinase with no lysine 2) (Serologically defined colon cancer antigen 43),WNK2 KIAA1760 PRKWNK2 SDCCAG43 P/OKcl.13,WNK2,Q9Y3S1
11433,Q9Y3S2,ZN330,Zinc finger protein 330 (Nucleolar autoantigen 36) (Nucleolar cysteine-rich protein),ZNF330 NOA36,ZNF330,Q9Y3S2
